view,texture_index_dec,texture_index_hex,width,height,image_format,palette_format,palette_entries,entry_local_descriptor_offset,entry_local_image_offset,entry_local_palette_offset,dt_na_descriptor_offset,dt_na_image_offset,dt_na_palette_offset,image_len,palette_len,sheet_png,grid_png,nonempty_cells_exported
side,73,0x49,1024,256,0x09,0x02,256,0x944,0x53680,0x3C80,0x167E7D64,0x1683AAA0,0x167EB0A0,0x40000,0x200,sheets/side/side_page_49_t073.png,sheets_grid/side/side_page_49_t073_grid.png,79
side,74,0x4A,1024,256,0x09,0x02,256,0x964,0x53680,0x2C80,0x167E7D84,0x1683AAA0,0x167EA0A0,0x40000,0x200,sheets/side/side_page_4A_t074.png,sheets_grid/side/side_page_4A_t074_grid.png,79
side,75,0x4B,1024,256,0x09,0x02,256,0x984,0x53680,0x1C80,0x167E7DA4,0x1683AAA0,0x167E90A0,0x40000,0x200,sheets/side/side_page_4B_t075.png,sheets_grid/side/side_page_4B_t075_grid.png,79
side,76,0x4C,1024,256,0x09,0x02,256,0x9A4,0x53680,0x2880,0x167E7DC4,0x1683AAA0,0x167E9CA0,0x40000,0x200,sheets/side/side_page_4C_t076.png,sheets_grid/side/side_page_4C_t076_grid.png,79
side,77,0x4D,1024,256,0x09,0x02,256,0x9C4,0x53680,0x1A80,0x167E7DE4,0x1683AAA0,0x167E8EA0,0x40000,0x200,sheets/side/side_page_4D_t077.png,sheets_grid/side/side_page_4D_t077_grid.png,79
side,78,0x4E,1024,256,0x09,0x02,256,0x9E4,0x53680,0x3680,0x167E7E04,0x1683AAA0,0x167EAAA0,0x40000,0x200,sheets/side/side_page_4E_t078.png,sheets_grid/side/side_page_4E_t078_grid.png,79
front,79,0x4F,1024,256,0x09,0x02,256,0xA04,0x13680,0xEE80,0x167E7E24,0x167FAAA0,0x167F62A0,0x40000,0x200,sheets/front/front_page_4F_t079.png,sheets_grid/front/front_page_4F_t079_grid.png,105
front,80,0x50,1024,256,0x09,0x02,256,0xA24,0x13680,0xB680,0x167E7E44,0x167FAAA0,0x167F2AA0,0x40000,0x200,sheets/front/front_page_50_t080.png,sheets_grid/front/front_page_50_t080_grid.png,105
front,81,0x51,1024,256,0x09,0x02,256,0xA44,0x13680,0x10E80,0x167E7E64,0x167FAAA0,0x167F82A0,0x40000,0x200,sheets/front/front_page_51_t081.png,sheets_grid/front/front_page_51_t081_grid.png,105
front,82,0x52,1024,256,0x09,0x02,256,0xA64,0x13680,0x10A80,0x167E7E84,0x167FAAA0,0x167F7EA0,0x40000,0x200,sheets/front/front_page_52_t082.png,sheets_grid/front/front_page_52_t082_grid.png,105
front,83,0x53,1024,256,0x09,0x02,256,0xA84,0x13680,0x11C80,0x167E7EA4,0x167FAAA0,0x167F90A0,0x40000,0x200,sheets/front/front_page_53_t083.png,sheets_grid/front/front_page_53_t083_grid.png,105
front,84,0x54,1024,256,0x09,0x02,256,0xAA4,0x13680,0xAA80,0x167E7EC4,0x167FAAA0,0x167F1EA0,0x40000,0x200,sheets/front/front_page_54_t084.png,sheets_grid/front/front_page_54_t084_grid.png,105
front,85,0x55,1024,256,0x09,0x02,256,0xAC4,0x13680,0x8880,0x167E7EE4,0x167FAAA0,0x167EFCA0,0x40000,0x200,sheets/front/front_page_55_t085.png,sheets_grid/front/front_page_55_t085_grid.png,73
front,86,0x56,1024,256,0x09,0x02,256,0xAE4,0x13680,0x4280,0x167E7F04,0x167FAAA0,0x167EB6A0,0x40000,0x200,sheets/front/front_page_56_t086.png,sheets_grid/front/front_page_56_t086_grid.png,73
front,87,0x57,1024,256,0x09,0x02,256,0xB04,0x13680,0xBA80,0x167E7F24,0x167FAAA0,0x167F2EA0,0x40000,0x200,sheets/front/front_page_57_t087.png,sheets_grid/front/front_page_57_t087_grid.png,105
front,88,0x58,1024,256,0x09,0x02,256,0xB24,0x13680,0x7480,0x167E7F44,0x167FAAA0,0x167EE8A0,0x40000,0x200,sheets/front/front_page_58_t088.png,sheets_grid/front/front_page_58_t088_grid.png,73
front,89,0x59,1024,256,0x09,0x02,256,0xB44,0x13680,0x5480,0x167E7F64,0x167FAAA0,0x167EC8A0,0x40000,0x200,sheets/front/front_page_59_t089.png,sheets_grid/front/front_page_59_t089_grid.png,73
front,90,0x5A,1024,256,0x09,0x02,256,0xB64,0x13680,0x11680,0x167E7F84,0x167FAAA0,0x167F8AA0,0x40000,0x200,sheets/front/front_page_5A_t090.png,sheets_grid/front/front_page_5A_t090_grid.png,105
front,91,0x5B,1024,256,0x09,0x02,256,0xB84,0x13680,0xFE80,0x167E7FA4,0x167FAAA0,0x167F72A0,0x40000,0x200,sheets/front/front_page_5B_t091.png,sheets_grid/front/front_page_5B_t091_grid.png,105
front,92,0x5C,1024,256,0x09,0x02,256,0xBA4,0x13680,0x11080,0x167E7FC4,0x167FAAA0,0x167F84A0,0x40000,0x200,sheets/front/front_page_5C_t092.png,sheets_grid/front/front_page_5C_t092_grid.png,105
front,93,0x5D,1024,256,0x09,0x02,256,0xBC4,0x13680,0xF480,0x167E7FE4,0x167FAAA0,0x167F68A0,0x40000,0x200,sheets/front/front_page_5D_t093.png,sheets_grid/front/front_page_5D_t093_grid.png,105
front,94,0x5E,1024,256,0x09,0x02,256,0xBE4,0x13680,0x12E80,0x167E8004,0x167FAAA0,0x167FA2A0,0x40000,0x200,sheets/front/front_page_5E_t094.png,sheets_grid/front/front_page_5E_t094_grid.png,105
front,95,0x5F,1024,256,0x09,0x02,256,0xC04,0x13680,0xFA80,0x167E8024,0x167FAAA0,0x167F6EA0,0x40000,0x200,sheets/front/front_page_5F_t095.png,sheets_grid/front/front_page_5F_t095_grid.png,105
front,96,0x60,1024,256,0x09,0x02,256,0xC24,0x13680,0xF080,0x167E8044,0x167FAAA0,0x167F64A0,0x40000,0x200,sheets/front/front_page_60_t096.png,sheets_grid/front/front_page_60_t096_grid.png,105
front,97,0x61,1024,256,0x09,0x02,256,0xC44,0x13680,0xA080,0x167E8064,0x167FAAA0,0x167F14A0,0x40000,0x200,sheets/front/front_page_61_t097.png,sheets_grid/front/front_page_61_t097_grid.png,73
front,98,0x62,1024,256,0x09,0x02,256,0xC64,0x13680,0x13080,0x167E8084,0x167FAAA0,0x167FA4A0,0x40000,0x200,sheets/front/front_page_62_t098.png,sheets_grid/front/front_page_62_t098_grid.png,105
front,99,0x63,1024,256,0x09,0x02,256,0xC84,0x13680,0x7680,0x167E80A4,0x167FAAA0,0x167EEAA0,0x40000,0x200,sheets/front/front_page_63_t099.png,sheets_grid/front/front_page_63_t099_grid.png,73
front,100,0x64,1024,256,0x09,0x02,256,0xCA4,0x13680,0xA280,0x167E80C4,0x167FAAA0,0x167F16A0,0x40000,0x200,sheets/front/front_page_64_t100.png,sheets_grid/front/front_page_64_t100_grid.png,73
front,101,0x65,1024,256,0x09,0x02,256,0xCC4,0x13680,0xA480,0x167E80E4,0x167FAAA0,0x167F18A0,0x40000,0x200,sheets/front/front_page_65_t101.png,sheets_grid/front/front_page_65_t101_grid.png,73
front,102,0x66,1024,256,0x09,0x02,256,0xCE4,0x13680,0xA680,0x167E8104,0x167FAAA0,0x167F1AA0,0x40000,0x200,sheets/front/front_page_66_t102.png,sheets_grid/front/front_page_66_t102_grid.png,73
front,103,0x67,1024,256,0x09,0x02,256,0xD04,0x13680,0xB880,0x167E8124,0x167FAAA0,0x167F2CA0,0x40000,0x200,sheets/front/front_page_67_t103.png,sheets_grid/front/front_page_67_t103_grid.png,105
front,104,0x68,1024,256,0x09,0x02,256,0xD24,0x13680,0x12880,0x167E8144,0x167FAAA0,0x167F9CA0,0x40000,0x200,sheets/front/front_page_68_t104.png,sheets_grid/front/front_page_68_t104_grid.png,105
front,105,0x69,1024,256,0x09,0x02,256,0xD44,0x13680,0xBE80,0x167E8164,0x167FAAA0,0x167F32A0,0x40000,0x200,sheets/front/front_page_69_t105.png,sheets_grid/front/front_page_69_t105_grid.png,105
front,106,0x6A,1024,256,0x09,0x02,256,0xD64,0x13680,0x11E80,0x167E8184,0x167FAAA0,0x167F92A0,0x40000,0x200,sheets/front/front_page_6A_t106.png,sheets_grid/front/front_page_6A_t106_grid.png,105
front,107,0x6B,1024,256,0x09,0x02,256,0xD84,0x13680,0x10C80,0x167E81A4,0x167FAAA0,0x167F80A0,0x40000,0x200,sheets/front/front_page_6B_t107.png,sheets_grid/front/front_page_6B_t107_grid.png,105
front,108,0x6C,1024,256,0x09,0x02,256,0xDA4,0x13680,0xDA80,0x167E81C4,0x167FAAA0,0x167F4EA0,0x40000,0x200,sheets/front/front_page_6C_t108.png,sheets_grid/front/front_page_6C_t108_grid.png,105
front,109,0x6D,1024,256,0x09,0x02,256,0xDC4,0x13680,0x11480,0x167E81E4,0x167FAAA0,0x167F88A0,0x40000,0x200,sheets/front/front_page_6D_t109.png,sheets_grid/front/front_page_6D_t109_grid.png,105
front,110,0x6E,1024,256,0x09,0x02,256,0xDE4,0x13680,0x10880,0x167E8204,0x167FAAA0,0x167F7CA0,0x40000,0x200,sheets/front/front_page_6E_t110.png,sheets_grid/front/front_page_6E_t110_grid.png,105
front,111,0x6F,1024,256,0x09,0x02,256,0xE04,0x13680,0x11280,0x167E8224,0x167FAAA0,0x167F86A0,0x40000,0x200,sheets/front/front_page_6F_t111.png,sheets_grid/front/front_page_6F_t111_grid.png,105
front,112,0x70,1024,256,0x09,0x02,256,0xE24,0x13680,0x8280,0x167E8244,0x167FAAA0,0x167EF6A0,0x40000,0x200,sheets/front/front_page_70_t112.png,sheets_grid/front/front_page_70_t112_grid.png,73
front,113,0x71,1024,256,0x09,0x02,256,0xE44,0x13680,0x9080,0x167E8264,0x167FAAA0,0x167F04A0,0x40000,0x200,sheets/front/front_page_71_t113.png,sheets_grid/front/front_page_71_t113_grid.png,73
front,114,0x72,1024,256,0x09,0x02,256,0xE64,0x13680,0x8680,0x167E8284,0x167FAAA0,0x167EFAA0,0x40000,0x200,sheets/front/front_page_72_t114.png,sheets_grid/front/front_page_72_t114_grid.png,73
front,115,0x73,1024,256,0x09,0x02,256,0xE84,0x13680,0x9E80,0x167E82A4,0x167FAAA0,0x167F12A0,0x40000,0x200,sheets/front/front_page_73_t115.png,sheets_grid/front/front_page_73_t115_grid.png,73
front,116,0x74,1024,256,0x09,0x02,256,0xEA4,0x13680,0x10280,0x167E82C4,0x167FAAA0,0x167F76A0,0x40000,0x200,sheets/front/front_page_74_t116.png,sheets_grid/front/front_page_74_t116_grid.png,105
front,117,0x75,1024,256,0x09,0x02,256,0xEC4,0x13680,0xCC80,0x167E82E4,0x167FAAA0,0x167F40A0,0x40000,0x200,sheets/front/front_page_75_t117.png,sheets_grid/front/front_page_75_t117_grid.png,105
front,118,0x76,1024,256,0x09,0x02,256,0xEE4,0x13680,0x4E80,0x167E8304,0x167FAAA0,0x167EC2A0,0x40000,0x200,sheets/front/front_page_76_t118.png,sheets_grid/front/front_page_76_t118_grid.png,73
front,119,0x77,1024,256,0x09,0x02,256,0xF04,0x13680,0xA880,0x167E8324,0x167FAAA0,0x167F1CA0,0x40000,0x200,sheets/front/front_page_77_t119.png,sheets_grid/front/front_page_77_t119_grid.png,105
front,120,0x78,1024,256,0x09,0x02,256,0xF24,0x13680,0x4880,0x167E8344,0x167FAAA0,0x167EBCA0,0x40000,0x200,sheets/front/front_page_78_t120.png,sheets_grid/front/front_page_78_t120_grid.png,73
front,121,0x79,1024,256,0x09,0x02,256,0xF44,0x13680,0xF880,0x167E8364,0x167FAAA0,0x167F6CA0,0x40000,0x200,sheets/front/front_page_79_t121.png,sheets_grid/front/front_page_79_t121_grid.png,105
front,122,0x7A,1024,256,0x09,0x02,256,0xF64,0x13680,0x10480,0x167E8384,0x167FAAA0,0x167F78A0,0x40000,0x200,sheets/front/front_page_7A_t122.png,sheets_grid/front/front_page_7A_t122_grid.png,105
front,123,0x7B,1024,256,0x09,0x02,256,0xF84,0x13680,0x10080,0x167E83A4,0x167FAAA0,0x167F74A0,0x40000,0x200,sheets/front/front_page_7B_t123.png,sheets_grid/front/front_page_7B_t123_grid.png,105
front,124,0x7C,1024,256,0x09,0x02,256,0xFA4,0x13680,0xE880,0x167E83C4,0x167FAAA0,0x167F5CA0,0x40000,0x200,sheets/front/front_page_7C_t124.png,sheets_grid/front/front_page_7C_t124_grid.png,105
front,125,0x7D,1024,256,0x09,0x02,256,0xFC4,0x13680,0xEA80,0x167E83E4,0x167FAAA0,0x167F5EA0,0x40000,0x200,sheets/front/front_page_7D_t125.png,sheets_grid/front/front_page_7D_t125_grid.png,105
front,126,0x7E,1024,256,0x09,0x02,256,0xFE4,0x13680,0xB480,0x167E8404,0x167FAAA0,0x167F28A0,0x40000,0x200,sheets/front/front_page_7E_t126.png,sheets_grid/front/front_page_7E_t126_grid.png,105
front,127,0x7F,1024,256,0x09,0x02,256,0x1004,0x13680,0x5A80,0x167E8424,0x167FAAA0,0x167ECEA0,0x40000,0x200,sheets/front/front_page_7F_t127.png,sheets_grid/front/front_page_7F_t127_grid.png,73
front,128,0x80,1024,256,0x09,0x02,256,0x1024,0x13680,0x4480,0x167E8444,0x167FAAA0,0x167EB8A0,0x40000,0x200,sheets/front/front_page_80_t128.png,sheets_grid/front/front_page_80_t128_grid.png,73
front,129,0x81,1024,256,0x09,0x02,256,0x1044,0x13680,0xAE80,0x167E8464,0x167FAAA0,0x167F22A0,0x40000,0x200,sheets/front/front_page_81_t129.png,sheets_grid/front/front_page_81_t129_grid.png,105
